Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Close
16794734022413.908,1477803991576.0977,-42885912738359.46,-14813930599612.707,21961564812500.004,32342604075198.477,5712999068484.855,1318093238010.8303,-12393002059598.361,771.4683333333334
16951140917952.943,1491566574968.4438,-43285302986232.16,-14951890582235.004,22166089705570.957,32643806022986.203,5766203391772.973,1330368438913.7622,-12508416245906.648,771.69
15107802018429.994,1329367325484.217,-38578275155305.99,-13325958596246.004,19755655262617.43,29093979854130.336,5139161956641.108,1185698445030.2695,-11148197818303.332,766.7316666666667
17380678674039.379,1529362531300.5933,-44382142260411.23,-15330767895652.674,22727773129503.68,33470992261293.355,5912317590311.905,1364079661637.4216,-12825376466538.516,754.7066666666667
17102619290089.336,1504895472215.958,-43672108002907.016,-15085503290966.436,22364169752932.715,32935516773438.27,5817731194949.71,1342256842215.9019,-12620193646073.52,736.4416666666667
13878774568441.736,1221222582098.9414,-35439913165001.07,-12241885046983.156,18148522455795.418,26727169981962.12,4721088530718.13,1089241360278.918,-10241286434051.412,699.5583333333333
15787730782358.574,1389195631829.0442,-40314496479294.11,-13925695243386.395,20644761050509.24,30403358928435.97,5370450716702.028,1239061107998.5283,-11649924395352.588,683.2866666666666
11490551142100.37,1011077731762.6774,-29341505179599.31,-10135333262960.29,15025571717829.973,22128028149708.492,3908695906583.1006,901807596541.9583,-8478992650071.102,724.096551724138
9064193210092.838,797577395954.7069,-23145719444006.67,-7995144694071.907,11852754798711.037,17455448444871.496,3083331209010.618,711380885955.0421,-6688558881525.606,685.4483333333334
14618096901861.97,1286277080647.4912,-37327797447479.46,-12894010244773.92,19115294108994.84,28150926407456.58,4972580931061.414,1147265289688.1113,-10786839887825.178,646.7266666666667
11286058702491.553,993084029768.795,-28819326888166.793,-9954959076783.336,14758168109495.94,21734225042915.41,3839134507469.6323,885758488962.3121,-8328095571767.953,680.3483333333334
